GEO.id,GEO.id2,GEO.display-label,,HC01_VC03,HC01_VC21,HC03_VC82,HC03_VC88,HC03_VC89,HC03_VC91
Id,Id2,Geography,year,Estimate; SEX AND AGE - Total population,Estimate; SEX AND AGE - Median age (years),Percent; HISPANIC OR LATINO AND RACE - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Asian alone
1600000US0600296,600296,Adelanto      ,2013,29764,24.5,51.5,18.5,20.5,2.9
1600000US0600394,600394,Agoura Hills     ,2013,20328,43.5,9.3,79.1,1.9,6.9
1600000US0600562,600562,Alameda      ,2013,72512,40.2,11.4,45,5.6,31.8
1600000US0600674,600674,Albany      ,2013,17921,36.2,8.6,53.5,3.2,30
1600000US0600884,600884,Alhambra      ,2013,83389,38.7,34.1,10.9,1.2,52.6
1600000US0600947,600947,Aliso Viejo     ,2013,46329,35.4,17.1,62.7,3.1,13.8
1600000US0601444,601444,Alturas      ,2013,2833,38.3,11.1,80.7,1.4,2.8
1600000US0601514,601514,Amador City     ,2013,128,47.8,0,100,0,0
1600000US0601640,601640,American Canyon     ,2013,17692,36.7,26.2,31.4,6.5,30.2
1600000US0602000,602000,Anaheim      ,2013,333039,32.1,51.8,28.8,2.4,14.7
1600000US0602042,602042,Anderson      ,2013,9910,35.6,10.5,78.2,1.5,3.9
1600000US0602112,602112,Angels      ,2013,3790,42.8,20.2,75.8,0,0.8
1600000US0602252,602252,Antioch      ,2013,99717,32.6,31.6,37,16.6,9.5
1600000US0602364,602364,Apple Valley     ,2013,67396,35.2,28.5,57.2,10.2,2
1600000US0602462,602462,Arcadia      ,2013,55704,41.1,12.1,27.7,0.9,57.4
1600000US0602476,602476,Arcata      ,2013,17100,27.7,12.5,76.1,2.3,2.2
1600000US0602868,602868,Arroyo Grande     ,2013,16990,44.2,13.1,78,1.3,4.5
1600000US0602896,602896,Artesia      ,2013,16476,37.7,32.9,23.5,4.7,36
1600000US0602924,602924,Arvin      ,2013,18329,22.1,88.6,10.3,0,0.9
1600000US0603064,603064,Atascadero      ,2013,27981,40.3,14.2,79.3,2.5,1.2
1600000US0603092,603092,Atherton      ,2013,6837,45.8,4.3,81.6,0.5,10.2
1600000US0603162,603162,Atwater      ,2013,27587,29.3,47.4,37.1,4.3,7.5
1600000US0603204,603204,Auburn      ,2013,13451,45.2,7.5,88.3,0.9,1
1600000US0603274,603274,Avalon      ,2013,3661,34.5,61.5,37.4,0,0
1600000US0603302,603302,Avenal      ,2013,15749,25.7,85.1,13.2,1.3,0.2
1600000US0603386,603386,Azusa      ,2013,46015,28.1,66.8,21.1,3.3,7.6
1600000US0603526,603526,Bakersfield      ,2013,331868,29.5,43.8,39.6,8,5.2
1600000US0603666,603666,Baldwin Park     ,2013,75387,30.5,81,5,0.6,12.3
1600000US0603820,603820,Banning      ,2013,29030,45.2,35.5,49.2,6.5,6
1600000US0604030,604030,Barstow      ,2013,22983,33.1,38.4,35.4,16.3,2.2
1600000US0604758,604758,Beaumont      ,2013,32847,32.7,39.3,45.9,3.3,8.6
1600000US0604870,604870,Bell      ,2013,35648,28.3,91.8,6.3,1.2,0.2
1600000US0604982,604982,Bellflower      ,2013,75944,31.3,50.9,21.7,12.5,11.9
1600000US0604996,604996,Bell Gardens     ,2013,42408,27.3,96.1,2.4,0.5,0.6
1600000US0605108,605108,Belmont      ,2013,25281,39.3,11.4,60.3,2,20.4
1600000US0605164,605164,Belvedere      ,2013,2116,55.3,6.4,89.9,0.4,1.1
1600000US0605290,605290,Benicia      ,2013,26959,45,11.6,70.8,4.2,7.5
1600000US0606000,606000,Berkeley      ,2013,109408,31.6,11.2,53.9,9.4,20.6
1600000US0606308,606308,Beverly Hills     ,2013,33980,43.5,4.6,85.3,2.5,6.2
1600000US0606434,606434,Big Bear Lake    ,2013,5171,40.3,22.1,74.3,0.7,0
1600000US0606560,606560,Biggs      ,2013,2077,34.7,31.9,60.8,0,0.4
1600000US0606798,606798,Bishop      ,2013,3826,44,31.9,62.2,0,3.7
1600000US0607162,607162,Blue Lake     ,2013,1293,31.3,5.6,83.4,2.2,0.5
1600000US0607218,607218,Blythe      ,2013,21164,34.7,49.9,30.4,15.8,1.8
1600000US0607946,607946,Bradbury      ,2013,978,45.7,10.2,48.9,0.6,40.3
1600000US0608058,608058,Brawley      ,2013,24288,29.9,79.8,15.3,3.7,0.6
1600000US0608100,608100,Brea      ,2013,38427,37.8,22.5,57.2,1.1,17.1
1600000US0608142,608142,Brentwood      ,2013,46283,34.8,27,55.2,5.6,7.4
1600000US0608310,608310,Brisbane      ,2013,4098,40.8,25.1,40.6,0.8,27.7
1600000US0608758,608758,Buellton      ,2013,4609,38.9,40.1,52.2,0,3.3
1600000US0608786,608786,Buena Park     ,2013,79744,34.4,36.5,29.3,4.1,27.3
1600000US0608954,608954,Burbank      ,2013,102723,38.6,24.7,60,2,11
1600000US0609066,609066,Burlingame      ,2013,28204,40.5,11.2,64.8,1.7,18.6
1600000US0609598,609598,Calabasas      ,2013,22686,42.5,7.3,76.9,2.6,10.5
1600000US0609710,609710,Calexico      ,2013,36304,30.4,95.8,2.7,0.2,1.1
1600000US0609780,609780,California City     ,2013,13264,32.6,24.9,55.9,13.4,2.1
1600000US0609864,609864,Calimesa      ,2013,7869,48.3,23.2,72.4,0.6,0.8
1600000US0609878,609878,Calipatria      ,2013,6953,26.5,82.2,16.3,0.3,0
1600000US0609892,609892,Calistoga      ,2013,5147,37,41.4,57,0,0.4
1600000US0610046,610046,Camarillo      ,2013,63599,40.6,23.4,62.1,1.8,9.4
