GEO.id,GEO.id2,GEO.display-label,,HC01_VC06,HC01_VC07,HC01_VC08,HC03_VC13,HC03_VC16,HC01_VC36,HC01_VC85,HC03_VC166
Id,Id2,Geography,year,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed,Percent; EMPLOYMENT STATUS - Percent Unemployed,Percent; EMPLOYMENT STATUS - In labor force (Females 16 years and over),Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; INCOME AND BENEFITS  (INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
1600000US0600296,600296,Adelanto      ,2013,10213,8202,2014,19.7,45.7,39.5,43305,25.6
1600000US0600394,600394,Agoura Hills     ,2013,11631,10898,733,6.3,66.9,28.8,106886,4
1600000US0600562,600562,Alameda      ,2013,39562,36352,3210,8.1,63.1,27.2,74221,10.1
1600000US0600674,600674,Albany      ,2013,9333,8808,525,5.6,61.9,29.1,71994,8.7
1600000US0600884,600884,Alhambra      ,2013,43899,40558,3341,7.6,57.6,29.1,51527,12.7
1600000US0600947,600947,Aliso Viejo     ,2013,28313,26743,1570,5.5,72.9,26,95498,3.7
1600000US0601444,601444,Alturas      ,2013,1294,1150,144,11.1,61.9,8.5,32385,26
1600000US0601514,601514,Amador City     ,2013,62,47,15,24.2,59.6,41.4,51607,14.8
1600000US0601640,601640,American Canyon     ,2013,9004,8337,667,7.4,63.8,32.6,80556,5.1
1600000US0602000,602000,Anaheim      ,2013,172354,155785,16569,9.6,60.7,26.6,57807,13.7
1600000US0602042,602042,Anderson      ,2013,4554,3848,706,15.5,53.3,16.6,34852,22.2
1600000US0602112,602112,Angels      ,2013,1685,1596,89,5.3,50.8,30.2,40690,5.5
1600000US0602252,602252,Antioch      ,2013,48910,43865,5045,10.3,59,39.3,66351,13.4
1600000US0602364,602364,Apple Valley     ,2013,28887,25155,3732,12.9,51.1,31.4,50066,17.9
1600000US0602462,602462,Arcadia      ,2013,28074,26743,1331,4.7,54.1,28.1,77024,9.1
1600000US0602476,602476,Arcata      ,2013,9542,8722,820,8.6,61.1,16.2,32017,28.5
1600000US0602868,602868,Arroyo Grande     ,2013,8676,8051,625,7.2,58.2,18.2,58725,5.9
1600000US0602896,602896,Artesia      ,2013,8462,7780,682,8.1,56.4,24.7,56777,9.3
1600000US0602924,602924,Arvin      ,2013,7519,6457,1062,14.1,49.9,25.1,32949,33.1
1600000US0603064,603064,Atascadero      ,2013,13884,12828,1056,7.6,62,22.3,65479,8.8
1600000US0603092,603092,Atherton      ,2013,2549,2387,162,6.4,34.2,20.7,223611,7.1
1600000US0603162,603162,Atwater      ,2013,11858,10119,1739,14.7,53.7,21.2,42226,23.4
1600000US0603204,603204,Auburn      ,2013,6798,6398,400,5.9,52.7,23.9,60756,8.9
1600000US0603274,603274,Avalon      ,2013,2298,2188,110,4.8,77.3,11.2,47634,11.5
1600000US0603302,603302,Avenal      ,2013,6428,5490,938,14.6,43.6,27.8,33350,37.7
1600000US0603386,603386,Azusa      ,2013,24392,22322,2070,8.5,61.9,28.3,51894,17.4
1600000US0603526,603526,Bakersfield      ,2013,155591,139722,15869,10.2,58.4,22.1,53997,17.3
1600000US0603666,603666,Baldwin Park     ,2013,34548,31028,3520,10.2,53.4,30,50346,15.9
1600000US0603820,603820,Banning      ,2013,10279,9299,980,9.5,40.2,23.5,38979,14.6
1600000US0604030,604030,Barstow      ,2013,10239,9350,889,8.7,55.6,25.3,45166,21.4
1600000US0604758,604758,Beaumont      ,2013,14325,13358,967,6.8,51.9,32.3,66121,11
1600000US0604870,604870,Bell      ,2013,15349,13739,1610,10.5,48.4,28.5,38473,22.6
1600000US0604982,604982,Bellflower      ,2013,36628,33957,2671,7.3,58,26.7,50565,13.1
1600000US0604996,604996,Bell Gardens     ,2013,18292,16816,1476,8.1,48.9,28.1,39167,22.7
1600000US0605108,605108,Belmont      ,2013,14518,13663,855,5.9,64.9,25.4,99913,3.6
1600000US0605164,605164,Belvedere      ,2013,814,707,107,13.1,30.1,29.6,132065,1.4
1600000US0605290,605290,Benicia      ,2013,15372,14630,742,4.8,65.9,29.7,87018,5.2
1600000US0606000,606000,Berkeley      ,2013,56531,52737,3794,6.7,56.1,25.6,58617,18.9
1600000US0606308,606308,Beverly Hills     ,2013,16852,15665,1187,7,51.6,26.2,83463,7.9
1600000US0606434,606434,Big Bear Lake    ,2013,2049,1859,190,9.3,40.8,12.7,32299,21.1
1600000US0606560,606560,Biggs      ,2013,948,791,157,16.6,53,27.6,52125,13.6
1600000US0606798,606798,Bishop      ,2013,1945,1813,132,6.8,59.5,13.9,37005,13
1600000US0607162,607162,Blue Lake     ,2013,697,681,16,2.3,61.6,17,48750,14.5
1600000US0607218,607218,Blythe      ,2013,5586,5086,500,9,53.9,14.8,41856,16.8
1600000US0607946,607946,Bradbury      ,2013,513,478,35,6.8,55.9,29.9,147841,5
1600000US0608058,608058,Brawley      ,2013,10530,8774,1756,16.7,53.4,18.9,39676,24.7
1600000US0608100,608100,Brea      ,2013,21219,19761,1458,6.9,62.5,28.2,79647,5.7
1600000US0608142,608142,Brentwood      ,2013,20935,19385,1550,7.4,57,39.7,89515,5.4
1600000US0608310,608310,Brisbane      ,2013,2680,2395,285,10.6,72,25.4,90156,6.1
1600000US0608758,608758,Buellton      ,2013,2759,2597,162,5.9,68.6,23.3,63988,7.3
1600000US0608786,608786,Buena Park     ,2013,39823,37046,2777,7,58.9,28.1,63295,9.8
1600000US0608954,608954,Burbank      ,2013,57740,53812,3928,6.8,61.9,25.2,63356,8.2
1600000US0609066,609066,Burlingame      ,2013,14815,13845,970,6.5,56.8,25.9,81849,7.2
1600000US0609598,609598,Calabasas      ,2013,11574,10717,857,7.4,55.7,29.9,116403,6
1600000US0609710,609710,Calexico      ,2013,15182,12737,2445,16.1,50.6,21.5,34848,22.1
1600000US0609780,609780,California City     ,2013,5883,4781,1102,18.7,59.7,30.2,47038,23
1600000US0609864,609864,Calimesa      ,2013,3207,2956,251,7.8,41.3,32.9,48945,13.7
1600000US0609878,609878,Calipatria      ,2013,2415,2164,251,10.4,38.9,22.3,38586,17.2
1600000US0609892,609892,Calistoga      ,2013,2547,2407,140,5.5,50.7,24.5,50128,10.5
1600000US0610046,610046,Camarillo      ,2013,32521,30261,2260,6.9,56.9,22,81518,4.7
1600000US0610345,610345,Campbell      ,2013,22832,21426,1406,6.2,66.2,23.2,79464,7.6
1600000US0610928,610928,Canyon Lake     ,2013,5289,4702,587,11.1,55.5,43,83845,5
1600000US0611040,611040,Capitola      ,2013,5716,5224,492,8.6,64.3,26,52389,9.4
1600000US0611194,611194,Carlsbad      ,2013,51426,48104,3322,6.5,58.5,28.7,84728,7.2
1600000US0611250,611250,Carmel-by-the-Sea      ,2013,1797,1769,28,1.6,49.2,13.4,74489,4.9
1600000US0611446,611446,Carpinteria      ,2013,7591,7018,573,7.5,65.6,20.3,63834,10.7
1600000US0611530,611530,Carson      ,2013,46740,42370,4370,9.3,61.2,25.6,68425,8
1600000US0612048,612048,Cathedral City     ,2013,24661,22435,2226,9,58.1,19.6,45693,16.3
1600000US0612524,612524,Ceres      ,2013,21337,18382,2955,13.8,58.1,26.5,50124,16.9
1600000US0612552,612552,Cerritos      ,2013,24202,22497,1705,7,55.1,30,88743,6.1
1600000US0613014,613014,Chico      ,2013,45533,40575,4958,10.9,60.9,17.1,41835,21.2
1600000US0613210,613210,Chino      ,2013,36464,33052,3412,9.4,57.4,30.7,71659,6.2
1600000US0613214,613214,Chino Hills     ,2013,40857,37644,3213,7.9,65.6,36.7,103891,4.1
1600000US0613294,613294,Chowchilla      ,2013,4068,3698,370,9.1,16.2,31.4,39902,18.4
1600000US0613392,613392,Chula Vista     ,2013,110255,100528,9727,8.8,59.2,26.8,63779,9.6
1600000US0613588,613588,Citrus Heights     ,2013,45378,40853,4525,10,62.4,25.5,53552,11.8
1600000US0613756,613756,Claremont      ,2013,17131,15937,1194,7,54.6,26.8,82015,6.4
1600000US0613882,613882,Clayton      ,2013,5631,5314,317,5.6,59.9,31.8,135643,3.1
1600000US0613945,613945,Clearlake      ,2013,5753,4866,887,15.4,48.1,27.6,26382,32.9
1600000US0614190,614190,Cloverdale      ,2013,4029,3773,256,6.4,58.5,27.7,54309,6.4
1600000US0614218,614218,Clovis      ,2013,46237,42025,4212,9.1,60.8,20.9,63229,10.2
1600000US0614260,614260,Coachella      ,2013,17053,14516,2537,14.9,61.8,20.3,43018,23.7
1600000US0614274,614274,Coalinga      ,2013,3529,3363,166,4.7,54.5,17.3,46229,23.3
1600000US0614498,614498,Colfax      ,2013,958,846,112,11.7,59.3,23.9,51667,6
1600000US0614736,614736,Colma      ,2013,1065,998,67,6.3,85.3,26.2,83750,2.8
1600000US0614890,614890,Colton      ,2013,24264,21661,2603,10.7,60.8,25.9,43373,17.9
1600000US0614946,614946,Colusa      ,2013,2803,2330,473,16.9,57.3,18.8,47596,14.5
1600000US0614974,614974,Commerce      ,2013,5182,4715,467,9,45.7,25.8,50667,13.8
1600000US0615044,615044,Compton      ,2013,40185,34953,5232,13,52.6,28.1,43201,22.8
1600000US0616000,616000,Concord      ,2013,67804,62173,5631,8.3,63.8,29.5,65123,9.6
1600000US0616224,616224,Corcoran      ,2013,5014,4187,827,16.5,40.8,20.9,35051,25.3
1600000US0616322,616322,Corning      ,2013,3123,2752,371,11.9,51.7,18.2,32729,26.6
1600000US0616350,616350,Corona      ,2013,78090,69944,8146,10.4,62.7,33.3,79180,8.9
1600000US0616378,616378,Coronado      ,2013,6957,6552,405,5.8,52.8,20.1,91071,6.1
1600000US0616462,616462,Corte Madera     ,2013,4879,4708,171,3.5,63.8,28.2,100800,2.2
1600000US0616532,616532,Costa Mesa     ,2013,64572,59885,4687,7.3,65.3,22.3,64864,13.3
1600000US0616560,616560,Cotati      ,2013,4429,4061,368,8.3,70.6,24.7,64107,7.6
1600000US0616742,616742,Covina      ,2013,24738,22023,2715,11,61.2,31.5,64141,10.7
1600000US0617022,617022,Crescent City     ,2013,1645,1336,309,18.8,39.2,9.5,26612,33.3
1600000US0617498,617498,Cudahy      ,2013,10341,9295,1046,10.1,49.2,32,41805,24.3
1600000US0617568,617568,Culver City     ,2013,22409,20973,1436,6.4,66.3,25,72199,7.2
1600000US0617610,617610,Cupertino      ,2013,26742,24897,1845,6.9,51.1,24,120201,4.6
1600000US0617750,617750,Cypress      ,2013,24830,23330,1500,6,60,27.6,83196,6.3
1600000US0617918,617918,Daly City     ,2013,56402,51476,4926,8.7,63,28.4,74987,7
1600000US0617946,617946,Dana Point     ,2013,18487,17315,1172,6.3,56.6,26.8,80609,5.5
1600000US0617988,617988,Danville      ,2013,20072,19005,1067,5.3,55.2,30.2,129515,3.6
1600000US0618100,618100,Davis      ,2013,33920,31264,2656,7.8,57,20,59517,23.5
1600000US0618394,618394,Delano      ,2013,17689,15342,2347,13.3,56.2,24.3,35673,27.7
1600000US0618506,618506,Del Mar     ,2013,2348,2296,52,2.2,56.8,24.1,112566,3.7
1600000US0618688,618688,Del Rey Oaks    ,2013,912,868,44,4.8,58.2,16.6,81154,4
1600000US0618996,618996,Desert Hot Springs    ,2013,10716,8991,1725,16.1,53.9,31.8,36326,24.9
1600000US0619192,619192,Diamond Bar     ,2013,29169,27655,1514,5.2,57,34.7,87216,4.6
1600000US0619318,619318,Dinuba      ,2013,9100,7856,1244,13.7,49.8,22.6,39165,26.4
1600000US0619402,619402,Dixon      ,2013,9450,8579,871,9.2,66.1,23.2,69742,8.6
1600000US0619584,619584,Dorris      ,2013,365,334,31,8.5,52.3,13.4,33182,23.8
1600000US0619612,619612,Dos Palos     ,2013,2023,1743,280,13.8,51.9,38.7,40121,18
1600000US0619766,619766,Downey      ,2013,54872,49557,5315,9.7,57.7,26.6,59674,10
1600000US0619990,619990,Duarte      ,2013,9684,8824,860,8.9,46.7,28.5,60935,10.4
1600000US0620018,620018,Dublin      ,2013,21399,19986,1413,6.6,62.8,29.5,107754,3.9
1600000US0620242,620242,Dunsmuir      ,2013,844,711,133,15.8,47.6,18.2,35283,22.5
1600000US0620956,620956,East Palo Alto    ,2013,13802,12473,1329,9.6,59.6,20.2,48734,16.6
1600000US0621712,621712,El Cajon     ,2013,46866,41708,5158,11,57,23.5,47048,21.3
1600000US0621782,621782,El Centro     ,2013,18475,15851,2624,14.2,53.2,16.7,38481,20.9
1600000US0621796,621796,El Cerrito     ,2013,12916,12023,893,6.9,60.8,31.8,79328,7.7
1600000US0622020,622020,Elk Grove     ,2013,72881,66993,5888,8.1,67.4,30.8,79457,8
1600000US0622230,622230,El Monte     ,2013,53657,48580,5077,9.5,51.8,28.3,42750,20.7
1600000US0622300,622300,El Paso de Robles   ,2013,13884,12834,1050,7.6,56.8,22.1,57459,10
1600000US0622412,622412,El Segundo     ,2013,9996,9518,478,4.8,65.7,21.5,89926,3.3
1600000US0622594,622594,Emeryville      ,2013,6153,5772,381,6.2,66.5,28.6,61088,15
1600000US0622678,622678,Encinitas      ,2013,32624,30825,1799,5.5,59.9,24.2,86845,8
1600000US0622790,622790,Escalon      ,2013,3820,3376,444,11.6,60.9,30.5,65457,9
1600000US0622804,622804,Escondido      ,2013,68850,63284,5566,8.1,54.1,27.4,51675,15.6
1600000US0622972,622972,Etna      ,2013,288,266,22,7.6,45.5,25,32061,19.8
1600000US0623042,623042,Eureka      ,2013,13357,12182,1175,8.8,54.5,14.7,34950,21.1
1600000US0623126,623126,Exeter      ,2013,4735,4083,652,13.8,58.6,21.6,43690,17.2
1600000US0623168,623168,Fairfax      ,2013,4501,4325,176,3.9,75.2,30.1,96154,7
1600000US0623182,623182,Fairfield      ,2013,50811,45973,4838,9.5,61.3,28.8,68009,11
1600000US0623616,623616,Farmersville      ,2013,4289,3621,668,15.6,49.1,22.3,32886,31.2
1600000US0623910,623910,Ferndale      ,2013,881,839,42,4.8,62,18,64107,7.3
1600000US0624092,624092,Fillmore      ,2013,6815,6321,494,7.2,53.7,31.8,58076,11.4
1600000US0624134,624134,Firebaugh      ,2013,3036,2486,550,18.1,48.8,24.3,30000,33.5
1600000US0624638,624638,Folsom      ,2013,32917,30535,2382,7.2,65.6,25.7,94642,3.7
1600000US0624680,624680,Fontana      ,2013,91473,82024,9449,10.3,58.9,31.3,63252,12.5
1600000US0625058,625058,Fort Bragg     ,2013,3452,3074,378,11,55.1,14.3,34570,26.1
1600000US0625128,625128,Fort Jones     ,2013,227,211,16,7,61.9,18.7,31417,17.7
1600000US0625296,625296,Fortuna      ,2013,4776,4509,267,5.6,46.5,20.5,38712,19.1
1600000US0625338,625338,Foster City     ,2013,16207,15321,886,5.5,62.4,26.4,111563,4.4
1600000US0625380,625380,Fountain Valley     ,2013,29114,27223,1891,6.5,57.5,25.5,79364,6.2
1600000US0625436,625436,Fowler      ,2013,2587,2302,285,11,54,18.5,56750,20.1
1600000US0626000,626000,Fremont      ,2013,110431,103208,7223,6.5,59.7,29,96287,5.2
1600000US0627000,627000,Fresno      ,2013,224259,196453,27806,12.4,57.8,20.8,43124,24.9
1600000US0628000,628000,Fullerton      ,2013,69813,64575,5238,7.5,59.8,26.5,67179,11.3
1600000US0628112,628112,Galt      ,2013,11098,10031,1067,9.6,60.5,28.2,58476,12.2
1600000US0628168,628168,Gardena      ,2013,28831,26131,2700,9.4,56.9,26,46837,15.9
1600000US0629000,629000,Garden Grove     ,2013,84391,76208,8183,9.7,57.6,27.1,61026,12.9
1600000US0629504,629504,Gilroy      ,2013,23340,21272,2068,8.9,61.4,28.9,71340,8.7
1600000US0630000,630000,Glendale      ,2013,101626,93467,8159,8,56.5,25.6,54677,13
1600000US0630014,630014,Glendora      ,2013,24901,22994,1907,7.7,56.3,29.3,75954,6.5
1600000US0630378,630378,Goleta      ,2013,16180,15499,681,4.2,63.2,16.3,67895,9.1
1600000US0630392,630392,Gonzales      ,2013,4108,3646,462,11.2,57.6,21.6,53463,15.8
1600000US0630658,630658,Grand Terrace     ,2013,6677,6132,545,8.2,62.2,23.7,62335,3.9
1600000US0630798,630798,Grass Valley     ,2013,5457,4988,469,8.6,45.5,15.6,35385,16.3
1600000US0630994,630994,Greenfield      ,2013,7562,6261,1301,17.2,62.2,26.3,52321,19
1600000US0631260,631260,Gridley      ,2013,2636,2254,382,14.5,48.3,21.1,37358,17.8
1600000US0631393,631393,Grover Beach     ,2013,7166,6736,430,6,60.8,17.2,49010,13.1
1600000US0631414,631414,Guadalupe      ,2013,3376,3149,227,6.7,60.7,21.7,42978,14.8
1600000US0631568,631568,Gustine      ,2013,2043,1780,263,12.9,41.2,34.7,40818,18.4
1600000US0631708,631708,Half Moon Bay    ,2013,6180,5712,468,7.6,61.5,26.7,92875,6.5
1600000US0631960,631960,Hanford      ,2013,24448,21830,2618,10.7,57,20,54742,16.5
1600000US0632506,632506,Hawaiian Gardens     ,2013,6907,6421,486,7,50.2,23.9,52034,15.8
1600000US0632548,632548,Hawthorne      ,2013,41718,38773,2945,7.1,60,28.9,44469,16.1
1600000US0633000,633000,Hayward      ,2013,75577,66877,8700,11.5,62.3,27.8,61268,12.5
1600000US0633056,633056,Healdsburg      ,2013,5704,5343,361,6.3,60.5,20.8,62550,9.3
1600000US0633182,633182,Hemet      ,2013,28300,23853,4447,15.7,41.8,31,35306,18
1600000US0633308,633308,Hercules      ,2013,13145,12264,881,6.7,67.1,36.4,87869,5.8
1600000US0633364,633364,Hermosa Beach     ,2013,13328,12667,661,5,75.5,28.8,99976,5.1
1600000US0633434,633434,Hesperia      ,2013,37013,31313,5700,15.4,51.5,38.4,48386,19.2
