GEO.id,GEO.id2,GEO.display-label,,HC01_VC12,HC03_VC13,HC03_VC14,HC03_VC19,HC01_VC48,HC01_VC125,HC01_VC185
Id,Id2,Geography,year,Estimate; UNITS IN STRUCTURE - Total housing units,"Percent; UNITS IN STRUCTURE - 1-unit, detached","Percent; UNITS IN STRUCTURE - 1-unit, attached",Percent; UNITS IN STRUCTURE - 20 or more units,Estimate; ROOMS - Median rooms,Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Median (dollars)
1600000US0600296,600296,Adelanto      ,2013,8291,79.1,2.2,3.3,5.7,170500,988
1600000US0600394,600394,Agoura Hills     ,2013,7681,70.2,13.4,7.6,6.6,740200,2000
1600000US0600562,600562,Alameda      ,2013,31572,42.3,10.3,16.7,4.7,662300,1250
1600000US0600674,600674,Albany      ,2013,7755,53.5,3.7,13.9,4.6,625400,1409
1600000US0600884,600884,Alhambra      ,2013,30551,44.5,12.5,9.8,4.4,514800,1126
1600000US0600947,600947,Aliso Viejo     ,2013,19036,36.3,26.2,14.6,4.9,558100,1799
1600000US0601444,601444,Alturas      ,2013,1387,77.1,1.8,5.3,5,132200,565
1600000US0601514,601514,Amador City     ,2013,91,89,0,0,4.5,422200,986
1600000US0601640,601640,American Canyon     ,2013,5602,80.7,0.8,2.2,6.5,419000,1459
1600000US0602000,602000,Anaheim      ,2013,105050,43,8.5,17.9,4.6,503000,1262
1600000US0602042,602042,Anderson      ,2013,4326,60.2,5.1,5,4.7,194300,792
1600000US0602112,602112,Angels      ,2013,1992,63.3,9.1,2.2,5,284000,834
1600000US0602252,602252,Antioch      ,2013,34730,77.1,4.9,6.7,6.1,388300,1213
1600000US0602364,602364,Apple Valley     ,2013,24683,76.2,3.3,1.3,5.8,262100,976
1600000US0602462,602462,Arcadia      ,2013,19488,61.1,10.3,9.6,5.6,786400,1315
1600000US0602476,602476,Arcata      ,2013,7863,42.9,6.4,7.3,4.4,349800,797
1600000US0602868,602868,Arroyo Grande     ,2013,7769,68.2,8.2,5.3,5.6,541100,1080
1600000US0602896,602896,Artesia      ,2013,4708,71.7,7.8,7,5,475500,1235
1600000US0602924,602924,Arvin      ,2013,4346,72.8,2.7,3.2,5.1,169000,726
1600000US0603064,603064,Atascadero      ,2013,11283,71.5,3.8,2.9,5.3,447300,1033
1600000US0603092,603092,Atherton      ,2013,2373,99.4,0.6,0,9,1000000,2000
1600000US0603162,603162,Atwater      ,2013,9324,64.4,6.2,0.5,5.3,214600,869
1600000US0603204,603204,Auburn      ,2013,6356,67.5,4.8,7.2,5.5,455700,921
1600000US0603274,603274,Avalon      ,2013,2126,26.5,6.1,12.3,4,843000,1003
1600000US0603302,603302,Avenal      ,2013,3513,62,3.4,1.9,4.9,170100,643
1600000US0603386,603386,Azusa      ,2013,13148,45.4,13.5,15.2,4.6,385200,1172
1600000US0603526,603526,Bakersfield      ,2013,114587,70.8,2.8,4.9,5.4,245100,906
1600000US0603666,603666,Baldwin Park     ,2013,18295,71.6,6.9,9.2,4.9,358800,1156
