,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent,Jurisdiction_stat,lat,lon
0,Adelanto,2013,San Bernardino,0.768115942,0.729064039,"(0.65, 0.8]",Good,Good,29764,24.5,51.5,18.5,20.5,2.9,10213,8202,2014,19.7,45.7,39.5,43305,25.6,8291,79.1,2.2,3.3,5.7,170500,988,"Adelanto, CA, USA",34.5827699,-117.409215
1,Agoura Hills,2013,Los Angeles,0.607142857,0.674342105,"(0.5, 0.65]",Good,Okay,20328,43.5,9.3,79.1,1.9,6.9,11631,10898,733,6.3,66.9,28.8,106886,4,7681,70.2,13.4,7.6,6.6,740200,2000,"Agoura Hills, CA, USA",34.14391585,-118.7611438
2,Alameda,2013,Alameda,0.763636364,0.808411215,"(0.65, 0.8]",Great,Good,72512,40.2,11.4,45,5.6,31.8,39562,36352,3210,8.1,63.1,27.2,74221,10.1,31572,42.3,10.3,16.7,4.7,662300,1250,"Alameda, CA, USA",37.7652076,-122.2416355
4,Albany,2013,Alameda,0.81,0.78238342,"(0.8, 1.0]",Good,Great,17921,36.2,8.6,53.5,3.2,30,9333,8808,525,5.6,61.9,29.1,71994,8.7,7755,53.5,3.7,13.9,4.6,625400,1409,"Albany, CA, USA",37.88687,-122.2977475
5,Alhambra,2013,Los Angeles,0.684210526,0.701388889,"(0.65, 0.8]",Good,Good,83389,38.7,34.1,10.9,1.2,52.6,43899,40558,3341,7.6,57.6,29.1,51527,12.7,30551,44.5,12.5,9.8,4.4,514800,1126,"Alhambra, CA, USA",34.093042,-118.12706
7,Alturas,2013,Modoc,0.610294118,0.7,"(0.5, 0.65]",Good,Okay,2833,38.3,11.1,80.7,1.4,2.8,1294,1150,144,11.1,61.9,8.5,32385,26,1387,77.1,1.8,5.3,5,132200,565,"Alturas, CA, USA",41.487123,-120.5423271
8,American Canyon,2013,Napa,0.789855072,0.792941176,"(0.65, 0.8]",Good,Good,17692,36.7,26.2,31.4,6.5,30.2,9004,8337,667,7.4,63.8,32.6,80556,5.1,5602,80.7,0.8,2.2,6.5,419000,1459,"American Canyon, CA, USA",38.1749179,-122.2608044
9,Anaheim,2013,Orange,0.652439024,0.644171779,"(0.65, 0.8]",Okay,Good,333039,32.1,51.8,28.8,2.4,14.7,172354,155785,16569,9.6,60.7,26.6,57807,13.7,105050,43,8.5,17.9,4.6,503000,1262,"Anaheim, CA, USA",33.8347516,-117.911732
10,Antioch,2013,Contra Costa,0.666666667,0.665158371,"(0.65, 0.8]",Good,Good,99717,32.6,31.6,37,16.6,9.5,48910,43865,5045,10.3,59,39.3,66351,13.4,34730,77.1,4.9,6.7,6.1,388300,1213,"Antioch, CA, USA",38.0049214,-121.805789
11,Apple Valley,2013,San Bernardino,0.727272727,0.719444444,"(0.65, 0.8]",Good,Good,67396,35.2,28.5,57.2,10.2,2,28887,25155,3732,12.9,51.1,31.4,50066,17.9,24683,76.2,3.3,1.3,5.8,262100,976,"Apple Valley, CA, USA",34.5008311,-117.1858759
